               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018316,            0.011706,           0.0075241,             0.82773,             0.38579,             0.40264,             0.26904,            0.019901,           0.0055825,            0.013562,             0.00307,             0.00307,             0.00307
                  37,             0.01789,            0.011401,           0.0071413,             0.81488,             0.39278,             0.41797,             0.28089,            0.019306,           0.0055283,            0.014378,            0.002872,            0.002872,            0.002872
                  38,            0.017779,            0.011626,           0.0073853,             0.81133,             0.38869,             0.40286,             0.26952,            0.019209,            0.005541,            0.013578,            0.002674,            0.002674,            0.002674
                  39,            0.017024,            0.011145,           0.0068953,             0.80419,             0.39752,             0.40928,              0.2727,            0.019186,            0.005443,             0.01536,            0.002476,            0.002476,            0.002476
                  40,            0.017061,            0.011104,           0.0066302,             0.84557,              0.3662,             0.40892,             0.27105,            0.019137,           0.0052989,            0.015169,            0.002278,            0.002278,            0.002278
                  41,            0.017059,            0.010921,           0.0065293,             0.89964,             0.35866,             0.43029,             0.28302,            0.018755,           0.0054395,            0.013292,             0.00208,             0.00208,             0.00208
                  42,            0.016739,            0.010775,           0.0063541,             0.82776,             0.40587,             0.41754,             0.28197,            0.019075,           0.0053591,            0.015213,            0.001882,            0.001882,            0.001882
                  43,            0.016563,            0.010632,           0.0065209,             0.84401,             0.37046,             0.41448,             0.28091,            0.018978,           0.0053362,            0.016413,            0.001684,            0.001684,            0.001684
                  44,            0.016699,            0.010653,           0.0064219,             0.81279,             0.39532,             0.41513,             0.27786,            0.019414,           0.0054593,            0.016166,            0.001486,            0.001486,            0.001486
                  45,            0.016276,            0.010564,           0.0062606,             0.81565,             0.41149,             0.42387,             0.28111,            0.018858,           0.0053675,             0.01688,            0.001288,            0.001288,            0.001288
                  46,             0.01557,            0.010332,           0.0055368,             0.86115,             0.39793,             0.42327,             0.28781,            0.018438,           0.0054786,            0.015627,             0.00109,             0.00109,             0.00109
                  47,            0.015871,            0.010334,           0.0058928,              0.8556,             0.37892,             0.42028,             0.28749,             0.01848,           0.0053982,            0.015311,            0.000892,            0.000892,            0.000892
                  48,            0.015731,            0.010371,            0.005855,             0.85138,             0.39667,             0.42719,             0.29146,            0.018365,           0.0053778,             0.01521,            0.000694,            0.000694,            0.000694
                  49,            0.015544,            0.010089,           0.0055881,              0.8144,             0.42221,             0.42481,             0.29249,            0.018328,           0.0053147,            0.015338,            0.000496,            0.000496,            0.000496
